Inactive,Internal ID,ID,External ID,Name,Duplicate,Parent Vendor,Primary Parent vendor,Vendor Status,Vendor Type,Phone,Email,Fax,Alt. Contact,Office Phone,Billing Address,Shipping Address,Web Address,Comments,Login Access,Account,Terms
No,23036,900615,900615,"Global Alternative Fuels, LLC / Rio Valle",,Yes,,Approved,,915-791-8720,accounting@riovalleybiofuels.com,915-760-4541,,,"Global Alternative Fuels, LLC / Rio Valle
3500 Doniphan Dr Ste A
El Paso TX 79922
United States","Global Alternative Fuels, LLC / Rio Valle
3500 Doniphan Dr Ste A
El Paso TX 79922
United States",,,No,,Net 10
No,21932,900616,900616,Global Industrial - CC,,Yes,,Approved,,,,,,,"900616
United States","900616
United States",,,No,,
No,23037,900617,900617,"Globe Petroleum, Inc. - EFT",,Yes,,Approved,National ,732-747-1023,bconover@globepetroleum.com,,,,"Globe Petroleum, Inc. - EFT
PO Box S
RED BANK NJ 7701
United States","Globe Petroleum, Inc. - EFT
PO Box S
RED BANK NJ 7701
United States",,,No,,Net 20 - EFT
No,21933,900618,900618,Go Daddy - CC,,Yes,,Approved,,,,,,,"900618
14455 N Hayden Rdm Ste 219
Scottsdale AZ 85260
United States","900618
14455 N Hayden Rdm Ste 219
Scottsdale AZ 85260
United States",,,No,,Credit Card
No,21934,900619,900619,"GOC, Ltd. - EFT",,Yes,,Approved,,205-459-2727,dkj@gocltd.com,,,,"900619
PO Box 598
Butler AL 36904
United States","900619
PO Box 598
Butler AL 36904
United States",,,No,,Net 10 - EFT
No,23038,900620,900620,Golden West (300) - EFT,,Yes,,Approved,National ,800-638-6628,kurbanek@texasenterprises.com,,,,"Golden West (300) - EFT
PO Box 6127
Austin TX 78762
United States","Golden West (300) - EFT
PO Box 6127
Austin TX 78762
United States",,,No,,Net 30
No,23039,900621,900621,Good Promotions Pack and Ship,,Yes,,Approved,,281-592-4398,sales@goodpromos.com,,,,"Good Promotions Pack and Ship
803 East Houston
Cleveland TX 77327
United States","Good Promotions Pack and Ship
803 East Houston
Cleveland TX 77327
United States",,,No,,Due on receipt
No,21935,900622,900622,Goode Company Hall of Flame - CC,,Yes,,Approved,,,,,,,"900622
United States","900622
United States",,,No,,
No,23040,900623,900623,Goodin Fuels Inc. 17522010242 D,,Yes,,Approved,,806-364-3366,general@cristpropanefuel.com,,,(806) 426-3421,"Goodin Fuels Inc. 17522010242 D
PO Box 710
Herford TX 79045
United States","Goodin Fuels Inc. 17522010242 D
PO Box 710
Herford TX 79045
United States",,,No,,Due on receipt
No,21936,900624,900624,Google - CC,,Yes,,Approved,,,,,,,"900624
United States","900624
United States",,,No,,Credit Card
No,21937,900625,900625,Goss Oil Co - HTM Transport,,Yes,,Approved,,317-840-9447,ggoss43@gmail.com,,,,"900625
PO Box 125
Cloverdale IN 46120
United States","900625
PO Box 125
Cloverdale IN 46120
United States",,,No,,Due on receipt
No,21938,900626,900626,GourmetGiftBaskets.com - CC,,Yes,,Approved,,,,,,,"900626
United States","900626
United States",,,No,,
No,21939,900627,900627,Governor's Hurricane Conv - CC,,Yes,,Approved,,,,,,,"900627
United States","900627
United States",,,No,,
No,21940,900628,900628,GPM Empire LLC -EFT,,Yes,,Approved,,601-794-5900,kwilliamson2@gpminvestments.com,,,,"900628
PO Box 429
Purvis MS 39475
United States","900628
PO Box 429
Purvis MS 39475
United States",,,No,,Net 15 - EFT
No,23041,900629,900629,Grace Church,,Yes,,Approved,,,,,,,"Grace Church
7224 N Sam Houston Pkwy East
Humble TX 77396
United States","Grace Church
7224 N Sam Houston Pkwy East
Humble TX 77396
United States",,,No,,
No,21941,900630,900630,Grainger Industrial Supply-- EFT,,Yes,,Approved,,713-675-2544,jordan.collette@grainger.com,,,,"900630
Dept 886575173 PO Box 419267
Kansas City MO 64141-6267
United States","900630
Dept 886575173 PO Box 419267
Kansas City MO 64141-6267
United States",,,No,,Net 30 - EFT
No,21942,900631,900631,Grandma's Cakes of New England - CC,,Yes,,Approved,,,,,,,"900631
United States","900631
United States",,,No,,
No,23042,900632,900632,Great America Financial  Svcs - EFT,,Yes,,Approved,,866-339-9781,,,,,"Great America Financial  Svcs - EFT
PO Box 660831
Dallas TX 75266-0831
United States","Great America Financial  Svcs - EFT
PO Box 660831
Dallas TX 75266-0831
United States",,,No,,Net 15 - EFT
No,21943,900633,900633,Great Gas - CC,,Yes,,Approved,National ,910-347-7138,greatgas@bizec.rr.com,,,,"900633
910 N Marine Blvd
Jacksonville NC 28540
United States","900633
910 N Marine Blvd
Jacksonville NC 28540
United States",,,No,,Credit Card
No,21944,900634,900634,Great Lakes Petroleum,,Yes,,Approved,,330-888-8589,cchambliss@glpetro.com,216-514-3726,,,"PO Box 936940
Atlanta GA 31193-6940
United States","PO Box 936940
Atlanta GA 31193-6940
United States",,,No,,Net 30
No,23043,900635,900635,Greater EMC Chamber,,Yes,,Approved,,281-354-0051,,,,,"Greater EMC Chamber
21575 Hwy 59 N, Suite 100
New Caney TX 77357
United States","Greater EMC Chamber
21575 Hwy 59 N, Suite 100
New Caney TX 77357
United States",,,No,,Due on receipt
No,21945,900636,900636,"Green & Chapman JV, LLC",,Yes,,Approved,,(501) 945-4555,rgreen@greenchapman.com,,,,"Green & Chapman JV, LLC
2218 Central Airport Road
North Little Rock AR 72117
United States","Green & Chapman JV, LLC
2218 Central Airport Road
North Little Rock AR 72117
United States",,,No,,Net 10
No,21946,900637,900637,"Green Petroleum, LLC",,Yes,,Approved,,301-877-9060,Greenpetroleum@att.net,301-877-9067,,,"900637
7508 Old Alexandria Ferry Rd
Clinton MD 20735
United States","900637
7508 Old Alexandria Ferry Rd
Clinton MD 20735
United States",,,No,,Net 30
No,21947,900638,900638,Greene Farmers Co-op - CC,,Yes,,Approved,,423-638-8101,gshelton@greenefarmerscoop.com,423-638-1032,,,"900638
1414 W Main St
Greeneville TN 37743
United States","900638
1414 W Main St
Greeneville TN 37743
United States",,,No,,Credit Card
No,23044,900639,900639,"Greens Energy Services, Inc.",,Yes,,Approved,,407-282-5000,bberry@greensenergy.com,,,,"Greens Energy Services, Inc.
186 N. Goldenrod Rd
Orlando FL 32807
United States","Greens Energy Services, Inc.
186 N. Goldenrod Rd
Orlando FL 32807
United States",,,No,,Net 10
Yes,23045,900640,900640,"Griffin's Propane, Inc. (Silver City, NM)",,Yes,,Approved,,,angel@griffinspropane.com,,,,"Griffin's Propane, Inc. (Silver City, NM)
PO Box 2737
Silver City NM 88062
United States","Griffin's Propane, Inc. (Silver City, NM)
PO Box 2737
Silver City NM 88062
United States",,,No,,Due on receipt
No,23046,900641,900641,"Grones Env Svc Ltd,LLP  CC",,Yes,,Approved,,254-405-4772,tricia@gronesenvironmental.com,,,,"Grones Env Svc Ltd,LLP  CC
PO Box 154524
Waco, TX 76715
United States","Grones Env Svc Ltd,LLP  CC
PO Box 154524
Waco, TX 76715
United States",,,No,,Credit Card
No,21948,900642,900642,GS Cookes ABC BAkers - CC,,Yes,,Approved,,,,,,,"900642
United States","900642
United States",,,No,,
No,21949,900643,900643,Guadalupe Lumber - CC,,Yes,,Approved,,,,,,,"900643
United States","900643
United States",,,No,,
No,23047,900644,900644,Gulf Constructors,,Yes,,Approved,,713-907-4444,barry@gulfconstructors.com,,,,"Gulf Constructors
18640 FM 1488 SteA101
Magnolia TX 77354
United States","Gulf Constructors
18640 FM 1488 SteA101
Magnolia TX 77354
United States",,,No,,Due on receipt
No,23048,900645,900645,Gulfshore Dockside LLC,,Yes,,Approved,,239-272-2458,gulfshoredockside@gmail.com,,,,"Gulfshore Dockside LLC
15557 Vittorio St
Naples FL 34114
United States","Gulfshore Dockside LLC
15557 Vittorio St
Naples FL 34114
United States",,,No,,Due on receipt
No,21950,900646,900646,Gurdy's Express Car Wash - CC,,Yes,,Approved,,,,,,,"900646
United States","900646
United States",,,No,,
No,21951,900647,900647,H & H Oil,,Yes,,Approved,,281-486-4182,dannywilliamson@hhoil.com,,,,"900647
5000 River Road
Marrero LA 70072
United States","900647
5000 River Road
Marrero LA 70072
United States",,,No,,Net 10
No,23049,900648,900648,H and M Oil - CC,,Yes,,Approved,,202-832-0959,cutt1967@gmail.com,,,,"H and M Oil - CC
4813 Queens Chapel Terrace NE
Washington DC 20017
United States","H and M Oil - CC
4813 Queens Chapel Terrace NE
Washington DC 20017
United States",,,No,,Credit Card
No,21952,900649,900649,H.E.B. - CC,,Yes,,Approved,,,,,,,"900649
United States","900649
United States",,,No,,
No,21953,900650,900650,H2 Energy / Sprinter Fuels - EFT,,Yes,,Approved,,912-628-0588,thunt@sprinterfuels.com,,,,"900650
PO Box 847
Richmond Hill GA 31324
United States","900650
PO Box 847
Richmond Hill GA 31324
United States",,,No,,Net 10
No,23050,900651,900651,"Haigood & Campbell, LLC 17528833589",,Yes,,Approved,,940-574-2521,gmiller@haigood-campbell.com,,,,"Haigood & Campbell, LLC 17528833589
PO Bo x1066
Archer City TX 76351
United States","Haigood & Campbell, LLC 17528833589
PO Bo x1066
Archer City TX 76351
United States",,,No,,Due on receipt
No,21954,900652,900652,Hall'n Assets Towing LLC - CC,,Yes,,Approved,,229-364-9608,hallnassets@gmail.com,,,,"900652
922 Radium Springs Rd Unit C
Albany GA 31705
United States","900652
922 Radium Springs Rd Unit C
Albany GA 31705
United States",,,No,,Credit Card
No,21955,900653,900653,"HALO Branded Solutions, Inc.",,Yes,,Approved,,815-625-0980,,,,,"900653
3182 Momentum Place
Chicago IL 60689-5331
United States","900653
3182 Momentum Place
Chicago IL 60689-5331
United States",,,No,,Net 30
No,21956,900654,900654,Hamilton Petroleum,,Yes,,Approved,,205-921-3432,Garrettfowler.fhp@gmail.com,,,,"900654
PO Box 1167
Hamilton AL 35570
United States","900654
PO Box 1167
Hamilton AL 35570
United States",,,No,,Due on receipt
No,23051,900655,900655,"Hammonds Fuel Additives, INC",,Yes,,Approved,,,ckaker@biobor.com,,,,"Hammonds Fuel Additives, INC
6951 W. Little York Rd
Houston TX 77040
United States","Hammonds Fuel Additives, INC
6951 W. Little York Rd
Houston TX 77040
United States",,,No,,Net 30
No,21957,900656,900656,Hampel Oil,,Yes,,Approved,,800-530-5848,brandon.volker@HampelOil.com,,,,"900656
PO Box 857477
Kansas City MO 64187-5477
United States","900656
PO Box 857477
Kansas City MO 64187-5477
United States",,,No,,Net 30
No,21958,900657,900657,Hampton Inn - CC,,Yes,,Approved,,,,,,,"900657
United States","900657
United States",,,No,,
No,21959,900658,900658,Harbor Freight Tools - CC,,Yes,,Approved,,888-866-5797,productsupport@harborfreight.com,,,,"900658
United States","900658
United States",,,No,,Credit Card
No,21960,900659,900659,Harms Oil Company,,Yes,,Approved,,402-991-5020,tankwagon@harmsoil.com,,,,"900659
38498 US Hwy 12
Aberdeen SD 57401
United States","900659
38498 US Hwy 12
Aberdeen SD 57401
United States",,,No,,Net 10
No,23052,900660,900660,Harney Oil - CC,,Yes,,Approved,National ,319-351-1240,gryssonic@msn.com,,,,"Harney Oil - CC
806 1st Ave
Coralville IA 52241
United States","Harney Oil - CC
806 1st Ave
Coralville IA 52241
United States",,,No,,Credit Card
No,23053,900661,900661,Harris Cnty Tax Assessor Collector - CC,,Yes,,Approved,,,,,,,"Harris Cnty Tax Assessor Collector - CC
1001 Preston PO Box 4089
Houston TX 77210-4089
United States","Harris Cnty Tax Assessor Collector - CC
1001 Preston PO Box 4089
Houston TX 77210-4089
United States",,,No,,Credit Card
No,21961,900662,900662,Harris County Civil Courthouse - CC,,Yes,,Approved,,,,,,,"900662
United States","900662
United States",,,No,,
No,23054,900663,900663,Harris County Dept of Education,Yes,Yes,,Approved,,713-696-8241,akyles@hcde-texas.org,,,,"Harris County Dept of Education
6300 Irvington Blvd.
Houston TX 77022
United States","Harris County Dept of Education
6300 Irvington Blvd.
Houston TX 77022
United States",,,No,,Net 30
Yes,23055,900664,900664,Harris County Engineering Permits,Yes,Yes,,Approved,,713-274-3900,,,,,"Harris County Engineering Permits
10555 Northwest Fwy
Houston TX 77092
United States","Harris County Engineering Permits
10555 Northwest Fwy
Houston TX 77092
United States",,,No,,
No,23056,900665,900665,Harris County MUD 147,,Yes,,Approved,,,,,,,"Harris County MUD 147
PO Box 1205
Brookshire TX 77423
United States","Harris County MUD 147
PO Box 1205
Brookshire TX 77423
United States",,,No,,Due on receipt
No,21962,900666,900666,Harris County Parking Permit - CC,,Yes,,Approved,,,,,,,"900666
United States","900666
United States",,,No,,
No,19069,900667 (1-1712045880),,Harris County Toll Road Authority - CC,,,,,,,,,,,,,,,No,,
No,21963,900667,900667,Harris County Toll Road Authority - CC,,Yes,,Approved,,,,,,,"900667
United States","900667
United States",,,No,,
No,21964,900668,900668,Harris County Vehicle Registration - CC,,Yes,,Approved,,,,,,,"900668
United States","900668
United States",,,No,,
No,21965,900669,900669,Harrison Oil-CC,,Yes,,Approved,,770-534-4366,Bbraham@harrisonoil.com,,,,"900669
PO BOX 1215
Gainesville GA 30501
United States","900669
PO BOX 1215
Gainesville GA 30501
United States",,,No,,Credit Card
No,21966,900670,900670,Hart Fueling  Services 18243049048,,Yes,,Approved,,844-824-7400,gabby@hartfueling.com,,,,"PO Box 69483
Baltimore MD 21264-9483
United States","PO Box 69483
Baltimore MD 21264-9483
United States",,,No,,Net 10
No,21967,900671,900671,HASC-Health and Safety Council - CC,,Yes,,Approved,,,,,,,"900671
United States","900671
United States",,,No,,
No,23057,900672,900672,HASC-Health and Safety Council - EFT,,Yes,,Approved,,281-476-9900,,,,,"HASC-Health and Safety Council - EFT
5213 Center Street
Pasadena TX 77505
United States","HASC-Health and Safety Council - EFT
5213 Center Street
Pasadena TX 77505
United States",,,No,,Net 30 - EFT
No,19073,900673 (4-1712045883),,Hawaii Department of Taxation,,,,,,,,,,,,,,,No,,
No,21968,900673,900673,Hawaii Department of Taxation,,Yes,,Approved,,,,,,,"900673
United States","900673
United States",,,No,,
No,21969,900674,900674,Hawthorn Funeral Home - CC,,Yes,,Approved,,,,,,,"900674
United States","900674
United States",,,No,,
No,21970,900675,900675,Heartfield Florist - CC,,Yes,,Approved,,,,,,,"900675
United States","900675
United States",,,No,,
No,21971,900676,900676,Heat Transfer Solutions - CC,,Yes,,Approved,,,,,,,"900676
United States","900676
United States",,,No,,
No,21972,900677,900677,Heavy Duty Truck Parts - CC,,Yes,,Approved,,,,,,,"900677
United States","900677
United States",,,No,,
No,23058,900678,900678,Hector Paniagua EMP,,Yes,,Approved,,,,,,,"Hector Paniagua EMP
9102 Curling Post
Schertz TX 78154
United States","Hector Paniagua EMP
9102 Curling Post
Schertz TX 78154
United States",,,No,,Due on receipt
No,21973,900679,900679,Hello Flowers - CC,,Yes,,Approved,,,,,,,"900679
United States","900679
United States",,,No,,
No,23059,900680,900680,Henderson's Propane Inc,,Yes,,Approved,,281-835-8566,hendersonpropane@gmail.com,,,,"Henderson's Propane Inc
1202 Trammel Fresno Road
Fresno TX 77545
United States","Henderson's Propane Inc
1202 Trammel Fresno Road
Fresno TX 77545
United States",,,No,,Due on receipt
No,21974,900681,900681,Henderson Oil-CC,,Yes,,Approved,,828-693-3487,jgraves@hendersonoil.com,,,,"900681
745 Ashe St
Hendersonville NC 28792
United States","900681
745 Ashe St
Hendersonville NC 28792
United States",,,No,,Credit Card
No,21975,900682,900682,Hendry Oil,,Yes,,Approved,,501-317-5342,hendryoilar@gmail.com,,,,"900682
PO Box 1591
Nasheville AR 71852
United States","900682
PO Box 1591
Nasheville AR 71852
United States",,,No,,Net 10
No,21976,900683,900683,Hepaco,,Yes,,Approved,,251-293-9598,ccobb@hepaco.com,,,,"900683
PO Box 746228
Atlanta GA 30374-6228
United States","900683
PO Box 746228
Atlanta GA 30374-6228
United States",,,No,,Net 14
No,21977,900684,900684,"Heritage-Crystal Clean, Inc.",,Yes,,Approved,,616-292-2380,mike.impellizzeri@crystal-clean.com,,,,"900684
2175 Point Blvd., Ste 375
Elgin IL 60123-9211
United States","900684
2175 Point Blvd., Ste 375
Elgin IL 60123-9211
United States",,,No,,Due on receipt
No,23060,900685,900685,Heritage Coop/ 1st Choice Ene - CC,,Yes,,Approved,National ,877-240-4393,energy@heritagecooperative.com,,,,"Heritage Coop/ 1st Choice Ene - CC
PO Box 828
Urbana OH 73078
United States","Heritage Coop/ 1st Choice Ene - CC
PO Box 828
Urbana OH 73078
United States",,,No,,Credit Card
No,21978,900686,900686,Heritage Oil,,Yes,,Approved,,812-480-1691,clientsupport@heritageoil.com,,,,"900686
PO Box 6850
Evansville IN 47719
United States","900686
PO Box 6850
Evansville IN 47719
United States",,,No,,Net 25
No,21979,900687,900687,Herr Petroleum Corp - CC,,Yes,,Approved,,309-342-1251,hpcroger@centurytel.net,,,,"900687
1693 State Hwy 164
Galesburg IL 61401
United States","900687
1693 State Hwy 164
Galesburg IL 61401
United States",,,No,,Credit Card
No,21980,900688,900688,Herring Gas Company,,Yes,,Approved,,,franklinton@herringgas.com,,,,"900688
925 John D Woods Road
Franklinton LA 70438
United States","900688
925 John D Woods Road
Franklinton LA 70438
United States",,,No,,Due on receipt
No,23076,900689,900689,Hexa Containment,,Yes,,Approved,,713-360-9129,duncan.mcvey@hexacontainment.com,,,,"Hexa Containment
PO Box 337
Hamshire TX 77622
United States","Hexa Containment
PO Box 337
Hamshire TX 77622
United States",,,No,,Net 45
No,23077,900690,900690,"Hicks Oil Company, Inc. - CC",,Yes,,Approved,,877-595-8166,penny@hicksoil.net,863-453-4577,,,"Hicks Oil Company, Inc. - CC
1390 N Central Ave PO Box 237
Avon Park FL 33825
United States","Hicks Oil Company, Inc. - CC
1390 N Central Ave PO Box 237
Avon Park FL 33825
United States",,,No,,Due on receipt
No,21981,900691,900691,Higginbotham Bros - CC,,Yes,,Approved,,,,,,,"900691
United States","900691
United States",,,No,,
No,21982,900692,900692,Highlands Petroleum Oil Corp,,Yes,,Approved,,276-628-7114,jhatfield@hpoc.co,,,,"900692
PO Box 1957
Abingdon VA 24210
United States","900692
PO Box 1957
Abingdon VA 24210
United States",,,No,,Net 10
No,23078,900693,900693,"Hiland Dairy Food Company, Inc",,Yes,,Approved,,512-272-4750,cshay@hilanddairy.com,,,,"Hiland Dairy Food Company, Inc
14225 Suncrest
Manor TX 78653
United States","Hiland Dairy Food Company, Inc
14225 Suncrest
Manor TX 78653
United States",,,No,,Net 10
No,23079,900694,900694,Hill Country Propane - CC,,Yes,,Approved,,800-997-8621,manager@hillcountrypropaneinc.com,830-997-8521,,,"Hill Country Propane - CC
1240 Hwy 16S
Fredericksburg TX 78624
United States","Hill Country Propane - CC
1240 Hwy 16S
Fredericksburg TX 78624
United States",,,No,,Credit Card
No,21983,900695,900695,Hilton Hotels & Resorts - CC,,Yes,,Approved,,,,,,,"900695
United States","900695
United States",,,No,,
No,21984,900696,900696,"Hines Oil Company, Inc. - CC",,Yes,,Approved,,618-684-6571,hinesoil@gmail.com,,,,"900696
2303 Logan St
Murphysboro IL 62966
United States","900696
2303 Logan St
Murphysboro IL 62966
United States",,,No,,Credit Card
No,21985,900697,900697,"HJ Walker OIl Company, Inc. - EFT",,Yes,,Approved,National ,931-455-4463,w_company@bellsouth.net,423-837-9792,,,"900697
PO Box 268
South Pittsburg TN 37380
United States","900697
PO Box 268
South Pittsburg TN 37380
United States",,,No,,Due on Receipt - EFT
No,23080,900698,900698,HLSR-Houston Livestock Show & Rodeo,,Yes,,Approved,,713-480-8496,metrogotexanhwy.59@gmail.com,,,,"HLSR-Houston Livestock Show & Rodeo
3NRG Park
Houston TX 77054
United States","HLSR-Houston Livestock Show & Rodeo
3NRG Park
Houston TX 77054
United States",,,No,,Due on receipt
No,21986,900699,900699,HLSR-Houston Livestock Show & Rodeo - CC,,Yes,,Approved,,,,,,,"900699
United States","900699
United States",,,No,,
No,21987,900700,900700,Hobby Lobby - CC,,Yes,,Approved,,,,,,,"900700
United States","900700
United States",,,No,,
No,23081,900701,900701,Hoidale,,Yes,,Approved,,405-495-7010,purchasing@hoidale.com,,,,"Hoidale
6617 W. Reno Ave
OKlahoma City OK 73127
United States","Hoidale
6617 W. Reno Ave
OKlahoma City OK 73127
United States",,,No,,Due on receipt
No,23082,900702,900702,"Holcomb Enviromental Oil Service, LLC",,Yes,,Approved,,281-440-3096,ccelestine22@sbcglobal.net,,,,"Holcomb Enviromental Oil Service, LLC
PO Box 38760
Houston TX 77238
United States","Holcomb Enviromental Oil Service, LLC
PO Box 38760
Houston TX 77238
United States",,,No,,Net 30
No,21988,900703,900703,Holiday Inn Express - CC,,Yes,,Approved,,,,,,,"900703
United States","900703
United States",,,No,,
No,21989,900704,900704,Holston Gases,,Yes,,Approved,,256-572-2112,brian.rogers@holstongases.com,,,,"900704
3455 US 78
W. Oxford AL 36203
United States","900704
3455 US 78
W. Oxford AL 36203
United States",,,No,,Net 25
No,21990,900705,900705,Holtzman Oil,,Yes,,Approved,,540-477-3131,ashisslett@holtzmancorp.com,,,,"900705
PO Box 8
Mt Jackson VA 22842
United States","900705
PO Box 8
Mt Jackson VA 22842
United States",,,No,,Net 30
No,23083,900706,900706,"Homax Oil Sales, Inc",,Yes,,Approved,,307-237-5800,MDwyer@homaxoil.com,,,,"Homax Oil Sales, Inc
605 South Poplar
Casper WY 82601
United States","Homax Oil Sales, Inc
605 South Poplar
Casper WY 82601
United States",,,No,,Net 30
No,21991,900707,900707,Home 2 Suites - CC,,Yes,,Approved,,,,,,,"900707
United States","900707
United States",,,No,,
No,22004,900708,900708,Home Depot - CC,,Yes,,Approved,,,houstondispatch@jaguarfueling.com,,,,"900708
United States","900708
United States",,,No,,Credit Card
No,22005,900709,900709,Home Oil / Marathon Oil,,Yes,,Approved,,334-347-8090,dispatch@homeoilcompany.com,,,,"900709
5744 E US Hwy 84
Cowarts AL 36321
United States","900709
5744 E US Hwy 84
Cowarts AL 36321
United States",,,No,,Net 10
No,22006,900710,900710,"Home Oil Company, Inc.",,Yes,,Approved,,225-383-4445,acastelli@hsoil.com,,,,"900710
1515 River Road South
Baton Rouge LA 70802
United States","900710
1515 River Road South
Baton Rouge LA 70802
United States",,,No,,Net 30
No,23085,900712,900712,Hope Energy - CC,,Yes,,Approved,,401-828-5000,sbarkin@energy-one.com,,,,"Hope Energy - CC
197 James P Murphy HWY
West Warwick RI 2893
United States","Hope Energy - CC
197 James P Murphy HWY
West Warwick RI 2893
United States",,,No,,Credit Card
No,22007,900713,900713,Hotel/Travel Charges - CC,,Yes,,Approved,,,,,,,"900713
United States","900713
United States",,,No,,
No,22008,900714,900714,Houston Area Safety Council - CC,,Yes,,Approved,,,,,,,"900714
United States","900714
United States",,,No,,Credit Card
No,22009,900715,900715,Houston Astros - CC,,Yes,,Approved,,,,,,,"900715
United States","900715
United States",,,No,,
No,22010,900716,900716,Houston Council of Safety Professional-CC,,Yes,,Approved,,,,,,,"900716
United States","900716
United States",,,No,,Credit Card - Due upon receipt
No,23086,900717,900717,Houston Freightliner Inc - CC,,Yes,,Approved,,713-672-4115,,,,,"Houston Freightliner Inc - CC
9550 North Loop East
Houston TX 77029
United States","Houston Freightliner Inc - CC
9550 North Loop East
Houston TX 77029
United States",,,No,,Credit Card
No,22011,900718,900718,Houston Map - CC,,Yes,,Approved,,,,,,,"900718
United States","900718
United States",,,No,,
No,22012,900719,900719,Houston Oil Company LLC,,Yes,,Approved,,302-242-9090,houstonoilco@gmail.com,,,,"900719
211 School Street
Houston DE 19954
United States","900719
211 School Street
Houston DE 19954
United States",,,No,,Due on receipt
No,23087,900720,900720,Houston Truck Parts - CC,,Yes,,Approved,,713-675-5694,,713-674-3414,,(713) 674-3414,"Houston Truck Parts - CC
1703 N Wayside
Houston TX 77020
United States","Houston Truck Parts - CC
1703 N Wayside
Houston TX 77020
United States",,,No,,Credit Card
No,23088,900721,900721,Hoyer Trucking,,Yes,,Approved,National ,432-295-0475,Hoyertrucking@yahoo.com,,,,"Hoyer Trucking
PO Box 1351
Odessa TX 79760
United States","Hoyer Trucking
PO Box 1351
Odessa TX 79760
United States",,,No,,Due on receipt
No,23089,900722,900722,HTS Texas - CC,,Yes,,Approved,,832-328-1010,mehhan.mcconnell@hts.com,,,,"HTS Texas - CC
Attn: Jeff Mamaux 3350 Yale Street
Houston TX 77018
United States","HTS Texas - CC
Attn: Jeff Mamaux 3350 Yale Street
Houston TX 77018
United States",,,No,,Credit Card
No,23090,900723,900723,Hudgins Company,,Yes,,Approved,,,hudginsoil@reagan.com,,,,"Hudgins Company
PO Box 2291
Cedar Park TX 78630
United States","Hudgins Company
PO Box 2291
Cedar Park TX 78630
United States",,,No,,Net 10
No,23091,900724,900724,Hudson Oil - CC,,Yes,,Approved,,800-713-0007,hudsonstation@yahoo.com,,,,"Hudson Oil - CC
PO Box 366
Amelia OH 45102
United States","Hudson Oil - CC
PO Box 366
Amelia OH 45102
United States",,,No,,Credit Card
No,22013,900725,900725,Huels Oil-CC,,Yes,,Approved,,,kkampwerth@huelsfueloil.com,,,,"900725
PO BOX 66
Carlyle IL 62231
United States","900725
PO BOX 66
Carlyle IL 62231
United States",,,No,,
No,23092,900726,900726,Huffman Sports Association,,Yes,,Approved,,936-3469-1367,sponsors@huffman.com,,,,"Huffman Sports Association
PO Box 729
Huffman TX 77336
United States","Huffman Sports Association
PO Box 729
Huffman TX 77336
United States",,,No,,Due on receipt
No,22014,900727,900727,Hughes Road Texaco - CC,,Yes,,Approved,,,,,,,"900727
United States","900727
United States",,,No,,
No,23093,900728,900728,Hughes Tank Company,,Yes,,Approved,,972-366-8684,paige@hughestank.com,,,,"Hughes Tank Company
PO Box 570
Venus TX 76084
United States","Hughes Tank Company
PO Box 570
Venus TX 76084
United States",,,No,,Net 30
No,23094,900729,900729,Hulls Environmental Services,,Yes,,Approved,,,jmichael@hullsenvironmental.com,,,,"Hulls Environmental Services
PO Box 21644
Tampa FL 33622
United States","Hulls Environmental Services
PO Box 21644
Tampa FL 33622
United States",,,No,,Net 30
No,23095,900730,900730,Humble Area Football League,,Yes,,Approved,,281-454-7153,,,,,"Humble Area Football League
PO Box 623
Humble TX 77347-0623
United States","Humble Area Football League
PO Box 623
Humble TX 77347-0623
United States",,,No,,Due on receipt
No,23096,900731,900731,Humble Civic Center - CC,,Yes,,Approved,,281-446-4140,,,,,"Humble Civic Center - CC
8233 Will Clayton Parkway
Humble TX 77338
United States","Humble Civic Center - CC
8233 Will Clayton Parkway
Humble TX 77338
United States",,,No,,Credit Card
Yes,23097,900732,900732,Humble Independent School District,Yes,Yes,,Approved,,281-641-8190,,,,,"Humble Independent School District
Janice P. Himpele PO Box 4020
Houston TX 77210
United States","Humble Independent School District
Janice P. Himpele PO Box 4020
Houston TX 77210
United States",,,No,,
No,23098,900733,900733,"Humble Landscaping Services, LLC",,Yes,,Approved,,832-895-1900,humblelandscapingservices@gmail.com,,,,"Humble Landscaping Services, LLC 
20543 Marker Ridge dr
Humble TX 77338
United States","Humble Landscaping Services, LLC 
20543 Marker Ridge dr
Humble TX 77338
United States",,,No,,Due on receipt
No,23099,900734,900734,Humble Sign Co,,Yes,,Approved,,281-812-2100,ar@humblesignco.com,,,,"Humble Sign Co
20702 Townsen Blvd. E
Humble TX 77338
United States","Humble Sign Co
20702 Townsen Blvd. E
Humble TX 77338
United States",,,No,,Due on receipt
No,23100,900735,900735,Humble Titans,,Yes,,Approved,,832-493-0725,humbletitans@gmail.com,,,,"Humble Titans
20803 Tamarron Dr
Humble TX 77346
United States","Humble Titans
20803 Tamarron Dr
Humble TX 77346
United States",,,No,,Due on receipt
No,22015,900736,900736,"Hunt & Sons, Inc.",,Yes,,Approved,,916-383-4868,kbarnes@huntnsons.com,,,,"900736
PO BOX 277670
Sacramento CA 95827-7670
United States","900736
PO BOX 277670
Sacramento CA 95827-7670
United States",,,No,,Net 15
